# Original Contents
e_scandinavia;SCA;Scandinavia;Scandinavia Empire
e_france;FRA;France;Francia Empire
k_france;FRA;France;France Kingdom
k_brittany;BRI;Brittany;Brittany Kingdom
d_brittany;BRI;Brittany;Brittany Duchy
d_alsace;ALS;Alsace;Alsace Duchy
c_armagnac;AMG;Armagnac;Armagnac County
d_auvergne;AUV;Auvergne;Auvergne Duchy
c_auvergne;AUV;Auvergne;Auvergne County
k_burgundy;BUR;Burgundy;Burgundy Kingdom
d_burgundy;BUR;Burgundy;Burgundy Duchy
d_champagne;CHP;Champagne;Champagne Duchy
c_corsica;COR;Corsica;Corsica County
d_dauphine;DAU;Dauphine;Dauphine Duchy
c_foix;FOI;Foix;Foix County
c_nevers;NEV;Nevers;Nevers County
d_normandy;NRM;Normandy;Normandy Duchy
d_orleans;ORL;Orleans;Orleans Duchy
c_orleans;ORL;Orleans;Orleans County
d_provence;PRO;Provence;Provence Duchy
c_provence;PRO;Provence;Provence County
d_toulouse;TOU;Toulouse;Toulouse Duchy
c_toulouse;TOU;Toulouse;Toulouse County
d_berry;BER;Berry;Berry Duchy
c_venaissin;AVI;Avignon;Venaissin County
c_anhalt;ANH;Anhalt;Anhalt County
d_baden;BAD;Baden;Baden Duchy
c_baden;BAD;Baden;Baden County
k_bavaria;BAV;Bavaria;Bavaria Kingdom
d_bavaria;BAV;Bavaria;Bavaria Duchy
k_bohemia;BOH;Bohemia;Bohemia Kingdom
d_bohemia;BOH;Bohemia;Bohemia Duchy
d_brandenburg;BRA;Brandenburg;Brandenburg Duchy
c_brandenburg;BRA;Brandenburg;Brandenburg County
c_bremen;BRE;Bremen;Bremen County
d_brunswick;BRU;Brunswick;Brunswick Duchy
k_germany;GER;Germany;Germany Kingdom
d_osterreich;HAB;Austria;Austria Duchy
c_hamburg;HAM;Hamburg;Hamburg County
e_hre;HLR;HolyRomanEmpire;Holy Roman Empire
c_lorraine;LOR;Lorraine;Lorraine County
c_luneburg;LUN;Luneburg;Luneburg County
c_mainz;MAI;Mainz;Mainz County
d_meissen;MEI;Meissen;Meissen Duchy
c_meissen;MEI;Meissen;Meissen County
c_mecklemburg;MKL;Mecklenburg;Mecklenburg County
c_munster;MUN;Munster;Munster County
c_oldenburg;OLD;Oldenburg;Oldenburg County
k_pomerania;POM;Pommern;Pommerania Kingdom
d_pommerania;POM;Pommern;Pommerania Duchy
d_saxony;SAX;Saxony;Saxony Duchy
d_silesia;SIL;Silesia;Silesia Duchy
c_salzburg;SLZ;Salzburg;Salzburg County
d_thuringia;THU;Thuringia;Thuringia Duchy
c_thuringen;THU;Thuringia;Thuringia County
d_tyrol;TIR;Tyrol;Tirol Duchy
c_tirol;TIR;Tyrol;Tirol County
c_trier;TRI;Trier;Trier County
c_ulm;ULM;Ulm;Ulm County
c_wurzburg;WBG;Wurzburg;Wurzburg County
c_wurttemberg;WUR;Wurttemberg;Wurttemberg County
k_aragon;ARA;Aragon;Aragon Kingdom
d_aragon;ARA;Aragon;Aragon Duchy
k_castille;CAS;Castille;Castille Kingdom
d_castilla;CAS;Castille;Castille Duchy
d_granada;GRA;Granada;Granada Duchy
c_granada;GRA;Granada;Granada County
k_navarra;NAV;Navarra;Navarra Kingdom
d_navarra;NAV;Navarra;Navarra Duchy
c_navarra;NAV;Navarra;Navarra County
k_portugal;POR;Portugal;Portugal Kingdom
e_spain;SPA;Spain;Spain Empire
k_spanish_galicia;GAL;Galicia;Galicia Kingdom
d_galicia;GAL;Galicia;Galicia Duchy
c_aquileia;AQU;Aquileia;Aquileia County
d_ferrara;FER;Ferrara;Ferrara Duchy
c_ferrara;FER;Ferrara;Ferrara County
k_genoa;GEN;Genoa;Genoa Kingdom
d_genoa;GEN;Genoa;Genoa Duchy
e_italy;ITA;Italy;Italy Empire
k_italy;ITA;Italy;Italy Kingdom
c_mantua;MAN;Mantua;Mantua County
d_modena;MOD;Modena;Modena Duchy
c_modena;MOD;Modena;Modena County
k_naples;NAP;Naples;Naples Kingdom
k_papal_state;PAP;Papal;Papal State Kingdom
c_parma;PAR;Parma;Parma County
k_pisa;PIS;Pisa;Pisa Kingdom
d_pisa;PIS;Pisa;Pisa Duchy
c_pisa;PIS;Pisa;Pisa Pisa
d_sardinia;SAR;Sardinia;Sardinia Duchy
d_savoie;SAV;Savoy;Savoy Duchy
k_sicily;SIC;Sicily;Sicily Kingdom
d_sicily;SIC;Sicily;Sicily Duchy
c_siena;SIE;Siena;Siena County
d_toscana;TUS;Tuscany;Tuscany Duchy
c_urbino;URB;Urbino;Urbino County
k_venice;VEN;Venice;Venice Kingdom
d_venice;VEN;Venice;Venice Duchy
c_venezia;VEN;Venice;Venice County
d_brabant;BRB;Brabant;Brabant Duchy
c_brabant;BRB;Brabant;Brabant County
d_flanders;FLA;Flanders;Flanders Duchy
d_gelre;GEL;Gelre;Gelre Duchy
c_gelre;GEL;Gelre;Gelre County
c_hainaut;HAI;Hainut;Hainut County
d_holland;HOL;Holland;Holland Duchy
c_holland;HOL;Holland;Holland County
c_liege;LIE;Liege;Liege County
d_luxembourg;LUX;Luxembourgh;Luxembourg Duchy
c_luxembourg;LUX;Luxembourgh;Luxembourg County
c_friesland;FRI;Friesland;Friesland County
k_armenia;ARM;Armenia;Armenia Kingdom
d_armenia;ARM;Armenia;Armenia Duchy
d_crimea;CRI;Crimea;Crimea Duchy
c_crimea;CRI;Crimea;Crimea Duchy
k_georgia;GEO;Georgia;Georgia Kingdom
e_golden_horde;GOL;GoldenHorde;Golden Horde Empire
d_moskva;MOS;Muscowy;Muscowy Duchy
c_moskva;MOS;Muscowy;Muscowy County
d_novgorod;NOV;Novgorod;Novgorod Duchy
c_novgorod;NOV;Novgorod;Novgorod County
c_pskov;PSK;Pskov;Pskov County
e_russia;RUS;Russia;Russia Empire
d_ryazan;RYA;Ryazan;Ryazan Duchy
c_ryazan;RYA;Ryazan;Ryazan Ryazan
d_tver;TVE;Tver;Tver Duchy
c_tver;TVE;Tver;Tver County
d_yaroslavl;YAR;Yaroslavl;Yaroslavl Duchy
c_yaroslavl;YAR;Yaroslavl;Yaroslavl County
d_polotsk;PLT;Polotsk;Polotsk Duchy
c_polotsk;PLT;Polotsk;Polotsk County
k_perm;PRM;Perm;Perm Kingdom
d_perm;PRM;Perm;Perm Duchy
c_perm;PRM;Perm;Perm County
d_oman;OMA;Oman;Oman Duchy
c_hijaz;HED;Hedjaz;Hedjaz County
k_aydin;AYD;Aydin;Aydin Kingdom
k_candar;CND;Candar;Candar Kingdom
k_mesopotamia;IRQ;Iraq;Iraq Kingdom
d_mesopotamia;IRQ;Iraq;Iraq Duchy
c_mesopotamia;IRQ;Iraq;Iraq County
k_karaman;KAR;Karaman;Karaman Kingdom
k_syria;SYR;Syria;Syria Kingdom
d_syria;SYR;Syria;Syria Duchy
c_syria;SYR;Syria;Syria County
k_trebizond;TRE;Trebizond;Trebizond Kingdom
d_trebizond;TRE;Trebizond;Trebizond Duchy
k_saruhan;SRU;Saruhan;Saruhan Kingdom
k_mentese;MEN;Mentese;Mentese Kingdom
d_mamluks;MAM;Burgi;Burgi (Mamluks)
d_fes;FEZ;Fez;Fez Duchy
c_fes;FEZ;Fez;Fez County
d_tripolitania;TRP;Tripoli;Tripoli Duchy
c_tripolitana;TRP;Tripoli;Tripoli County
d_alger;ALG;Algiers;Algiers Duchy
d_marrakech;MOR;Morocco;Morocco Duchy
d_khiva;KHI;Khiva;Khiva Duchy
c_maverannahr;KHI;Khiva;Khiva County
d_khorasan;KHO;Khorasan;Khorasan Duchy
c_khorasan;KHO;Khorasan;Khorasan County
e_persia;PER;Persia;Persia Empire
k_persia;PER;Persia;Persia Kingdom
e_timurids;TIM;Timurid;Timurid Empire
e_mexikha;AZT;Aztec;Aztec Empire
e_mali;MAL;Mali;Mali Empire
k_mali;MAL;Mali;Mali Kingdom
d_mali;MAL;Mali;Mali Duchy
c_mali;MAL;Mali;Mali County
e_mongol_empire;KHA;MongolKhanate;Mongol Khanate
c_baluchistan;BAL;Baluchistan;Baluchistan County
k_hansa;HSA;Hansa;Hanseatic League
c_bar;BAR;Bar;Bar County
d_smolensk;SMO;Smolensk;Smolensk Duchy
c_smolensk;SMO;Smolensk;Smolensk County
c_nizhny_novgorod;NZH;NizhnyNovgorod;Nizhny Novgorod County
k_jerusalem;KOJ;Jerusalem;Jerusalem Kingdom
d_jerusalem;KOJ;Jerusalem;Jerusalem Duchy
c_jerusalem;KOJ;Jerusalem;Jerusalem County
d_jomsvikings;JOM;Jomsvikings;Jomsvikings Special Case
d_hashshashin;HAH;Hashshashin;Hashshashin Special Case
e_roman_empire;ROM;RomanEmpire;Roman Empire Special Case
k_israel;ISR;Israel;Kingdom of Israel Special Case
d_knights_templar;TEM;KnightsTemplar;Knights Templar Special Case


# Generated From Counties
d_holland;HOL;Holland;Holland County
k_holland;HOL;Holland;Holland County
e_holland;HOL;Holland;Holland County
d_gelre;GEL;Gelre;Gelre County
k_gelre;GEL;Gelre;Gelre County
e_gelre;GEL;Gelre;Gelre County
d_brabant;BRB;Brabant;Brabant County
k_brabant;BRB;Brabant;Brabant County
e_brabant;BRB;Brabant;Brabant County
d_hainaut;HAI;Hainut;Hainut County
k_hainaut;HAI;Hainut;Hainut County
e_hainaut;HAI;Hainut;Hainut County
d_luxembourg;LUX;Luxembourgh;Luxembourg County
k_luxembourg;LUX;Luxembourgh;Luxembourg County
e_luxembourg;LUX;Luxembourgh;Luxembourg County
d_liege;LIE;Liege;Liege County
k_liege;LIE;Liege;Liege County
e_liege;LIE;Liege;Liege County
d_lorraine;LOR;Lorraine;Lorraine County
k_lorraine;LOR;Lorraine;Lorraine County
e_lorraine;LOR;Lorraine;Lorraine County
d_bar;BAR;Bar;Bar County
k_bar;BAR;Bar;Bar County
e_bar;BAR;Bar;Bar County
d_trier;TRI;Trier;Trier County
k_trier;TRI;Trier;Trier County
e_trier;TRI;Trier;Trier County
d_salzburg;SLZ;Salzburg;Salzburg County
k_salzburg;SLZ;Salzburg;Salzburg County
e_salzburg;SLZ;Salzburg;Salzburg County
d_tirol;TIR;Tyrol;Tirol County
k_tirol;TIR;Tyrol;Tirol County
e_tirol;TIR;Tyrol;Tirol County
d_aquileia;AQU;Aquileia;Aquileia County
k_aquileia;AQU;Aquileia;Aquileia County
e_aquileia;AQU;Aquileia;Aquileia County
d_luneburg;LUN;Luneburg;Luneburg County
k_luneburg;LUN;Luneburg;Luneburg County
e_luneburg;LUN;Luneburg;Luneburg County
d_oldenburg;OLD;Oldenburg;Oldenburg County
k_oldenburg;OLD;Oldenburg;Oldenburg County
e_oldenburg;OLD;Oldenburg;Oldenburg County
d_thuringen;THU;Thuringia;Thuringia County
k_thuringen;THU;Thuringia;Thuringia County
e_thuringen;THU;Thuringia;Thuringia County
d_munster;MUN;Munster;Munster County
k_munster;MUN;Munster;Munster County
e_munster;MUN;Munster;Munster County
d_mainz;MAI;Mainz;Mainz County
k_mainz;MAI;Mainz;Mainz County
e_mainz;MAI;Mainz;Mainz County
d_wurzburg;WBG;Wurzburg;Wurzburg County
k_wurzburg;WBG;Wurzburg;Wurzburg County
e_wurzburg;WBG;Wurzburg;Wurzburg County
d_baden;BAD;Baden;Baden County
k_baden;BAD;Baden;Baden County
e_baden;BAD;Baden;Baden County
d_ulm;ULM;Ulm;Ulm County
k_ulm;ULM;Ulm;Ulm County
e_ulm;ULM;Ulm;Ulm County
d_wurttemberg;WUR;Wurttemberg;Wurttemberg County
k_wurttemberg;WUR;Wurttemberg;Wurttemberg County
e_wurttemberg;WUR;Wurttemberg;Wurttemberg County
d_naxos;NAX;Naxos;Naxos County
k_naxos;NAX;Naxos;Naxos County
e_naxos;NAX;Naxos;Naxos County
d_epeiros;EPI;Epirus;Epirus County
k_epeiros;EPI;Epirus;Epirus County
e_epeiros;EPI;Epirus;Epirus County
d_atheniai;ATH;Duchy of Athens;Athens County
k_atheniai;ATH;Duchy of Athens;Athens County
e_atheniai;ATH;Duchy of Athens;Athens County
d_mesopotamia;IRQ;Iraq;Iraq County
k_mesopotamia;IRQ;Iraq;Iraq County
e_mesopotamia;IRQ;Iraq;Iraq County
d_ragusa;RAG;Ragusa;Ragusa County
k_ragusa;RAG;Ragusa;Ragusa County
e_ragusa;RAG;Ragusa;Ragusa County
d_venezia;VEN;Venice;Venice County
k_venezia;VEN;Venice;Venice County
e_venezia;VEN;Venice;Venice County
d_mantua;MAN;Mantua;Mantua County
k_mantua;MAN;Mantua;Mantua County
e_mantua;MAN;Mantua;Mantua County
d_modena;MOD;Modena;Modena County
k_modena;MOD;Modena;Modena County
e_modena;MOD;Modena;Modena County
d_parma;PAR;Parma;Parma County
k_parma;PAR;Parma;Parma County
e_parma;PAR;Parma;Parma County
d_ferrara;FER;Ferrara;Ferrara County
k_ferrara;FER;Ferrara;Ferrara County
e_ferrara;FER;Ferrara;Ferrara County
d_siena;SIE;Siena;Siena County
k_siena;SIE;Siena;Siena County
e_siena;SIE;Siena;Siena County
d_pisa;PIS;Pisa;Pisa Pisa
k_pisa;PIS;Pisa;Pisa Pisa
e_pisa;PIS;Pisa;Pisa Pisa
d_urbino;URB;Urbino;Urbino County
k_urbino;URB;Urbino;Urbino County
e_urbino;URB;Urbino;Urbino County
d_corsica;COR;Corsica;Corsica County
k_corsica;COR;Corsica;Corsica County
e_corsica;COR;Corsica;Corsica County
d_gotland;GOT;Gotland;Gotland County
k_gotland;GOT;Gotland;Gotland County
e_gotland;GOT;Gotland;Gotland County
d_hamburg;HAM;Hamburg;Hamburg County
k_hamburg;HAM;Hamburg;Hamburg County
e_hamburg;HAM;Hamburg;Hamburg County
d_holstein;SHL;Holstein;Holstein County
k_holstein;SHL;Holstein;Holstein County
e_holstein;SHL;Holstein;Holstein County
d_bremen;BRE;Bremen;Bremen County
k_bremen;BRE;Bremen;Bremen County
e_bremen;BRE;Bremen;Bremen County
d_finland;FIN;Finland;Finland County
k_finland;FIN;Finland;Finland County
e_finland;FIN;Finland;Finland County
d_krakowskie;KRA;Krakow;Krakow County
k_krakowskie;KRA;Krakow;Krakow County
e_krakowskie;KRA;Krakow;Krakow County
d_mecklemburg;MKL;Mecklenburg;Mecklenburg County
k_mecklemburg;MKL;Mecklenburg;Mecklenburg County
e_mecklemburg;MKL;Mecklenburg;Mecklenburg County
d_danzig;DNZ;Danzig;Danzig County
k_danzig;DNZ;Danzig;Danzig County
e_danzig;DNZ;Danzig;Danzig County
d_anhalt;ANH;Anhalt;Anhalt County
k_anhalt;ANH;Anhalt;Anhalt County
e_anhalt;ANH;Anhalt;Anhalt County
d_brandenburg;BRA;Brandenburg;Brandenburg County
k_brandenburg;BRA;Brandenburg;Brandenburg County
e_brandenburg;BRA;Brandenburg;Brandenburg County
d_meissen;MEI;Meissen;Meissen County
k_meissen;MEI;Meissen;Meissen County
e_meissen;MEI;Meissen;Meissen County
d_polotsk;PLT;Polotsk;Polotsk County
k_polotsk;PLT;Polotsk;Polotsk County
e_polotsk;PLT;Polotsk;Polotsk County
d_zemigalians;RIG;Riga;Riga County
k_zemigalians;RIG;Riga;Riga County
e_zemigalians;RIG;Riga;Riga County
d_novgorod;NOV;Novgorod;Novgorod County
k_novgorod;NOV;Novgorod;Novgorod County
e_novgorod;NOV;Novgorod;Novgorod County
d_pskov;PSK;Pskov;Pskov County
k_pskov;PSK;Pskov;Pskov County
e_pskov;PSK;Pskov;Pskov County
d_tver;TVE;Tver;Tver County
k_tver;TVE;Tver;Tver County
e_tver;TVE;Tver;Tver County
d_yaroslavl;YAR;Yaroslavl;Yaroslavl County
k_yaroslavl;YAR;Yaroslavl;Yaroslavl County
e_yaroslavl;YAR;Yaroslavl;Yaroslavl County
d_nizhny_novgorod;NZH;NizhnyNovgorod;Nizhny Novgorod County
k_nizhny_novgorod;NZH;NizhnyNovgorod;Nizhny Novgorod County
e_nizhny_novgorod;NZH;NizhnyNovgorod;Nizhny Novgorod County
d_moskva;MOS;Muscowy;Muscowy County
k_moskva;MOS;Muscowy;Muscowy County
e_moskva;MOS;Muscowy;Muscowy County
d_smolensk;SMO;Smolensk;Smolensk County
k_smolensk;SMO;Smolensk;Smolensk County
e_smolensk;SMO;Smolensk;Smolensk County
d_ryazan;RYA;Ryazan;Ryazan Ryazan
k_ryazan;RYA;Ryazan;Ryazan Ryazan
e_ryazan;RYA;Ryazan;Ryazan Ryazan
d_perm;PRM;Perm;Perm County
k_perm;PRM;Perm;Perm County
e_perm;PRM;Perm;Perm County
d_crimea;CRI;Crimea;Crimea Duchy
k_crimea;CRI;Crimea;Crimea Duchy
e_crimea;CRI;Crimea;Crimea Duchy
d_khorasan;KHO;Khorasan;Khorasan County
k_khorasan;KHO;Khorasan;Khorasan County
e_khorasan;KHO;Khorasan;Khorasan County
d_baluchistan;BAL;Baluchistan;Baluchistan County
k_baluchistan;BAL;Baluchistan;Baluchistan County
e_baluchistan;BAL;Baluchistan;Baluchistan County
d_maverannahr;KHI;Khiva;Khiva County
k_maverannahr;KHI;Khiva;Khiva County
e_maverannahr;KHI;Khiva;Khiva County
d_orleans;ORL;Orleans;Orleans County
k_orleans;ORL;Orleans;Orleans County
e_orleans;ORL;Orleans;Orleans County
d_nevers;NEV;Nevers;Nevers County
k_nevers;NEV;Nevers;Nevers County
e_nevers;NEV;Nevers;Nevers County
d_toulouse;TOU;Toulouse;Toulouse County
k_toulouse;TOU;Toulouse;Toulouse County
e_toulouse;TOU;Toulouse;Toulouse County
d_foix;FOI;Foix;Foix County
k_foix;FOI;Foix;Foix County
e_foix;FOI;Foix;Foix County
d_armagnac;AMG;Armagnac;Armagnac County
k_armagnac;AMG;Armagnac;Armagnac County
e_armagnac;AMG;Armagnac;Armagnac County
d_auvergne;AUV;Auvergne;Auvergne County
k_auvergne;AUV;Auvergne;Auvergne County
e_auvergne;AUV;Auvergne;Auvergne County
d_provence;PRO;Provence;Provence County
k_provence;PRO;Provence;Provence County
e_provence;PRO;Provence;Provence County
d_venaissin;AVI;Avignon;Venaissin County
k_venaissin;AVI;Avignon;Venaissin County
e_venaissin;AVI;Avignon;Venaissin County
d_navarra;NAV;Navarra;Navarra County
k_navarra;NAV;Navarra;Navarra County
e_navarra;NAV;Navarra;Navarra County
d_granada;GRA;Granada;Granada County
k_granada;GRA;Granada;Granada County
e_granada;GRA;Granada;Granada County
d_hijaz;HED;Hedjaz;Hedjaz County
k_hijaz;HED;Hedjaz;Hedjaz County
e_hijaz;HED;Hedjaz;Hedjaz County
d_jerusalem;KOJ;Jerusalem;Jerusalem County
k_jerusalem;KOJ;Jerusalem;Jerusalem County
e_jerusalem;KOJ;Jerusalem;Jerusalem County
d_syria;SYR;Syria;Syria County
k_syria;SYR;Syria;Syria County
e_syria;SYR;Syria;Syria County
d_fes;FEZ;Fez;Fez County
k_fes;FEZ;Fez;Fez County
e_fes;FEZ;Fez;Fez County
d_tripolitana;TRP;Tripoli;Tripoli County
k_tripolitana;TRP;Tripoli;Tripoli County
e_tripolitana;TRP;Tripoli;Tripoli County
d_northumberland;NOL;Northumberland;Northumberland County
k_northumberland;NOL;Northumberland;Northumberland County
e_northumberland;NOL;Northumberland;Northumberland County
d_lancaster;LAN;Lancaster;Lancaster County
k_lancaster;LAN;Lancaster;Lancaster County
e_lancaster;LAN;Lancaster;Lancaster County
d_york;YOR;York;York County
k_york;YOR;York;York County
e_york;YOR;York;York County
d_cornwall;CRN;Cornwall;Cornwall County
k_cornwall;CRN;Cornwall;Cornwall County
e_cornwall;CRN;Cornwall;Cornwall County
d_tyrone;TYR;Tyrone;Tyrone County
k_tyrone;TYR;Tyrone;Tyrone County
e_tyrone;TYR;Tyrone;Tyrone County
d_connacht;CNN;Connacht;Connacht County
k_connacht;CNN;Connacht;Connacht County
e_connacht;CNN;Connacht;Connacht County
d_leinster;LEI;Leinster;Leinster County
k_leinster;LEI;Leinster;Leinster County
e_leinster;LEI;Leinster;Leinster County
d_mali;MAL;Mali;Mali County
k_mali;MAL;Mali;Mali County
e_mali;MAL;Mali;Mali County


# Generated From Duchies


# Generated From Kingdoms
e_hansa;HSA;Hansa;Hanseatic League


